rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
30	ARHGEF38	Rho guanine nucleotide exchange factor (GEF) 38	119380	6	6	6	0	1	2	1	1	1	0	3.61e-05	0.165	NaN	NaN	NaN	3.61e-05	0.0222
31	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	737882	17	17	17	1	2	7	3	0	5	0	2.95e-06	0.0686	0.858	0.802	1.000	4.05e-05	0.0235
32	OR5L2	olfactory receptor, family 5, subfamily L, member 2	170098	8	8	8	1	0	2	4	1	1	0	3.11e-06	0.265	0.939	0.748	1.000	4.25e-05	0.0235
33	CHRM2	cholinergic receptor, muscarinic 2	244493	8	8	7	1	0	1	4	2	1	0	8.53e-06	0.387	0.296	0.436	0.367	4.28e-05	0.0235
34	SETBP1	SET binding protein 1	675684	13	13	13	1	5	1	3	2	2	0	0.000146	0.115	0.623	0.00444	0.0217	4.32e-05	0.0235
35	CNTNAP5	contactin associated protein-like 5	731250	19	19	19	3	4	7	5	2	1	0	1.45e-05	0.122	0.123	0.882	0.238	4.69e-05	0.0248
36	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	548242	13	12	13	1	3	2	4	2	2	0	1.64e-05	0.149	0.147	0.643	0.272	5.92e-05	0.0304
37	ZFPM2	zinc finger protein, multitype 2	617296	14	14	14	0	0	7	3	3	1	0	1.41e-05	0.0290	0.236	0.475	0.338	6.33e-05	0.0316
38	C10orf76	chromosome 10 open reading frame 76	388809	6	6	2	0	0	5	0	0	1	0	0.0193	0.156	0.00142	0.0122	0.000291	7.36e-05	0.0358
39	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	226437	7	7	7	0	0	2	1	1	2	1	1.88e-05	0.289	0.287	0.343	0.332	8.12e-05	0.0385
40	POTEH	POTE ankyrin domain family, member H	212606	6	6	5	0	1	1	3	1	0	0	0.000123	0.224	0.119	0.0686	0.0523	8.35e-05	0.0386
41	HDAC4	histone deacetylase 4	600562	12	11	7	1	10	0	0	1	1	0	0.00726	0.0415	0.000560	1.000	0.00117	0.000107	0.0484
42	PIAS1	protein inhibitor of activated STAT, 1	363597	7	5	3	0	6	1	0	0	0	0	0.0409	0.0594	0.000144	0.0439	0.000212	0.000110	0.0484
43	ZNF770	zinc finger protein 770	378418	13	2	13	3	0	6	0	6	0	1	0.282	0.753	3.00e-06	0.369	3.34e-05	0.000118	0.0508
44	SNTG1	syntrophin, gamma 1	295987	7	7	7	1	1	3	2	0	1	0	0.00131	0.348	0.00871	0.108	0.00968	0.000155	0.0652
45	CYLC1	cylicin, basic protein of sperm head cytoskeleton 1	288642	8	8	8	0	0	1	5	1	0	1	1.35e-05	0.136	0.883	0.830	1.000	0.000165	0.0677
46	PTPRD	protein tyrosine phosphatase, receptor type, D	1062376	21	19	19	2	4	10	3	4	0	0	3.80e-05	0.0608	0.334	0.304	0.388	0.000179	0.0717
47	OR13C2	olfactory receptor, family 13, subfamily C, member 2	176068	6	6	6	0	0	1	3	1	1	0	0.000180	0.245	0.101	0.191	0.0945	0.000204	0.0802
48	PLCL1	phospholipase C-like 1	551837	12	12	12	1	4	4	3	1	0	0	1.77e-05	0.125	0.724	0.865	1.000	0.000212	0.0815
49	SNTG2	syntrophin, gamma 2	296947	10	10	10	1	0	6	3	1	0	0	2.11e-05	0.222	0.997	0.551	1.000	0.000248	0.0935
50	CDH9	cadherin 9, type 2 (T1-cadherin)	435105	11	10	10	1	0	4	3	2	2	0	3.00e-05	0.224	0.606	0.996	0.720	0.000253	0.0936
51	OR8I2	olfactory receptor, family 8, subfamily I, member 2	167443	6	6	6	0	0	2	2	2	0	0	0.000142	0.199	0.241	0.175	0.162	0.000268	0.0970
52	CNPY1	canopy 1 homolog (zebrafish)	51622	3	3	3	1	1	0	0	0	2	0	0.000275	0.746	NaN	NaN	NaN	0.000275	0.0977
53	PCDH9	protocadherin 9	667456	16	14	16	1	0	9	4	2	1	0	2.52e-05	0.0659	0.940	0.530	1.000	0.000292	0.0988
54	CNNM2	cyclin M2	451812	7	7	7	0	1	1	1	1	3	0	0.0373	0.187	0.00352	0.00220	0.000678	0.000293	0.0988
55	TRIM49	tripartite motif-containing 49	206043	7	7	5	1	0	2	4	0	1	0	5.81e-05	0.531	0.209	0.988	0.441	0.000297	0.0988
56	GABRA2	gamma-aminobutyric acid (GABA) A receptor, alpha 2	251381	8	8	8	0	0	3	2	2	1	0	8.91e-05	0.140	0.181	0.659	0.291	0.000300	0.0988
57	P2RY11	purinergic receptor P2Y, G-protein coupled, 11	4255	2	2	2	1	2	0	0	0	0	0	0.000327	0.755	NaN	NaN	NaN	0.000327	0.106
58	OR2T33	olfactory receptor, family 2, subfamily T, member 33	178596	6	6	6	1	2	1	3	0	0	0	0.000651	0.406	0.268	0.0170	0.0462	0.000343	0.109
59	ZIK1	zinc finger protein interacting with K protein 1 homolog (mouse)	272072	4	4	3	0	2	0	0	1	1	0	0.0152	0.316	0.00179	0.125	0.00208	0.000359	0.110
60	SAMD9L	sterile alpha motif domain containing 9-like	865314	13	13	13	1	0	5	5	1	2	0	0.000140	0.202	0.133	0.425	0.229	0.000364	0.110
61	ZNF208	zinc finger protein 208	649817	17	16	16	3	0	4	9	3	1	0	0.000125	0.365	0.158	0.823	0.258	0.000365	0.110
62	SLCO1C1	solute carrier organic anion transporter family, member 1C1	417698	9	9	9	0	0	4	2	3	0	0	0.000128	0.139	0.294	0.159	0.254	0.000369	0.110
63	PCDH11X	protocadherin 11 X-linked	691720	15	15	14	2	2	9	1	0	3	0	0.000141	0.170	0.146	0.608	0.239	0.000381	0.110
64	CSMD3	CUB and Sushi multiple domains 3	2097357	46	39	46	7	2	19	12	9	4	0	4.64e-05	0.106	0.668	0.988	0.733	0.000384	0.110
65	FIGN	fidgetin	413896	10	10	10	1	3	3	2	0	2	0	8.47e-05	0.141	0.457	0.178	0.404	0.000386	0.110
66	EFCAB1	EF-hand calcium binding domain 1	112084	5	5	5	1	1	1	2	0	1	0	7.76e-05	0.607	0.266	0.912	0.473	0.000412	0.115
67	HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	443305	14	13	14	3	3	1	4	1	5	0	5.78e-05	0.299	0.440	0.726	0.698	0.000448	0.124
68	KCNT2	potassium channel, subfamily T, member 2	637836	12	12	9	1	2	1	7	2	0	0	6.57e-05	0.140	0.429	0.560	0.636	0.000463	0.126
69	LRRIQ1	leucine-rich repeats and IQ motif containing 1	918761	18	16	17	2	0	7	3	3	5	0	0.000223	0.293	0.0940	0.907	0.206	0.000505	0.135
70	ATM	ataxia telangiectasia mutated	1699392	22	21	22	1	2	8	4	3	5	0	0.000100	0.0292	0.303	0.582	0.468	0.000514	0.136
71	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1	254042	7	7	7	1	1	2	2	0	2	0	0.000875	0.430	0.0354	1.000	0.0547	0.000523	0.136
72	OR11H12	olfactory receptor, family 11, subfamily H, member 12	173032	5	5	5	0	0	2	1	1	1	0	0.00137	0.276	0.349	0.0103	0.0351	0.000528	0.136
73	DSEL	dermatan sulfate epimerase-like	641439	11	11	11	1	1	3	3	3	1	0	0.000147	0.292	0.275	0.372	0.381	0.000603	0.150
74	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	433420	9	9	9	0	1	2	3	0	3	0	0.000369	0.0748	0.534	0.0486	0.153	0.000607	0.150
75	ITGA6	integrin, alpha 6	592611	7	7	6	0	0	3	0	1	3	0	0.0497	0.415	0.384	0.000138	0.00115	0.000617	0.150
76	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	1335413	20	18	20	2	3	1	2	3	9	2	0.000395	0.310	0.109	0.420	0.146	0.000618	0.150
77	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	143964	5	5	5	0	0	2	3	0	0	0	0.000926	0.248	0.0385	0.991	0.0688	0.000679	0.163
78	LRTM1	leucine-rich repeats and transmembrane domains 1	176169	7	7	7	2	2	2	3	0	0	0	0.00119	0.460	0.0514	0.171	0.0552	0.000697	0.165
79	L3MBTL4	l(3)mbt-like 4 (Drosophila)	351049	8	8	7	1	0	2	4	1	1	0	0.00238	0.372	0.0175	0.369	0.0286	0.000721	0.169
80	FAM166B	family with sequence similarity 166, member B	121606	5	5	5	0	1	2	0	1	1	0	0.000525	0.335	0.854	0.0320	0.141	0.000777	0.179
81	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	676362	12	11	9	0	2	7	1	1	1	0	0.00413	0.0202	0.0319	0.0163	0.0186	0.000804	0.183
82	NEK11	NIMA (never in mitosis gene a)- related kinase 11	368856	6	6	6	0	0	2	0	2	2	0	0.00934	0.319	0.00371	0.952	0.00845	0.000825	0.186
83	CNTN1	contactin 1	562668	11	11	11	1	1	3	4	2	1	0	8.73e-05	0.239	0.685	0.443	1.000	0.000903	0.195
84	PTPRT	protein tyrosine phosphatase, receptor type, T	807495	15	13	14	2	5	2	5	1	2	0	0.00492	0.148	0.00843	0.909	0.0178	0.000905	0.195
85	PROX1	prospero homeobox 1	391760	10	9	10	0	2	3	1	3	1	0	0.000295	0.0804	0.209	0.377	0.297	0.000906	0.195
86	HIST1H2BH	histone cluster 1, H2bh	71225	3	3	3	0	0	0	0	3	0	0	0.00199	0.560	0.974	0.0123	0.0446	0.000919	0.195
87	PSMC4	proteasome (prosome, macropain) 26S subunit, ATPase, 4	224349	8	8	8	0	0	4	0	2	2	0	9.01e-05	0.0922	0.961	0.870	1.000	0.000929	0.195
88	IPP	intracisternal A particle-promoted polypeptide	345430	6	6	4	1	0	0	0	0	6	0	0.00319	0.824	0.0152	0.501	0.0283	0.000930	0.195
89	MMD2	monocyte to macrophage differentiation-associated 2	142206	5	5	5	0	2	2	0	1	0	0	0.000773	0.161	0.380	0.0387	0.119	0.000948	0.197
90	PEX2	peroxisomal biogenesis factor 2	165860	3	3	3	1	0	2	0	0	1	0	0.0323	0.811	0.00162	0.539	0.00292	0.000967	0.198
91	NAV3	neuron navigator 3	1269947	17	17	17	2	2	3	4	4	4	0	0.00164	0.171	0.467	0.0209	0.0599	0.00100	0.204
92	PRR16	proline rich 16	135337	6	6	6	2	2	3	1	0	0	0	0.000474	0.574	0.217	0.174	0.209	0.00101	0.204
93	HIST1H1E	histone cluster 1, H1e	116893	4	4	3	0	0	1	0	0	2	1	0.00150	0.723	0.0386	0.704	0.0672	0.00103	0.204
94	NEUROD4	neurogenic differentiation 4	175288	6	6	6	0	1	3	2	0	0	0	0.000293	0.172	0.357	0.241	0.366	0.00109	0.213
95	MTUS2	microtubule associated tumor suppressor candidate 2	735631	11	11	10	1	3	3	3	1	1	0	0.00256	0.123	0.0203	0.860	0.0444	0.00114	0.222
96	MANEA	mannosidase, endo-alpha	241222	5	4	5	1	0	1	1	1	1	1	0.00809	0.620	0.151	0.00357	0.0141	0.00115	0.222
97	SPANXC	SPANX family, member C	50285	4	4	4	0	0	0	1	2	1	0	0.000118	0.422	0.728	0.410	1.000	0.00119	0.226
98	LRRC32	leucine rich repeat containing 32	339806	9	9	9	1	2	4	3	0	0	0	0.000430	0.141	0.889	0.0721	0.278	0.00120	0.226
99	ENTHD1	ENTH domain containing 1	336636	8	8	8	0	0	4	3	1	0	0	0.000184	0.121	0.448	0.731	0.683	0.00125	0.234
100	HLA-B	major histocompatibility complex, class I, B	193689	7	7	7	0	1	1	1	0	4	0	0.000137	0.146	0.905	0.617	1.000	0.00135	0.250
101	DCAF16	DDB1 and CUL4 associated factor 16	103200	3	3	2	0	0	1	2	0	0	0	0.00804	0.377	0.00762	0.901	0.0172	0.00137	0.251
102	OR10R2	olfactory receptor, family 10, subfamily R, member 2	185761	6	6	6	0	0	1	3	0	2	0	0.000365	0.215	0.371	0.276	0.388	0.00139	0.252
103	HMMR	hyaluronan-mediated motility receptor (RHAMM)	399654	4	4	2	0	0	1	0	0	3	0	0.0986	0.812	0.000251	0.893	0.00146	0.00141	0.252
104	PCDH20	protocadherin 20	483736	10	9	10	0	2	1	6	1	0	0	0.00178	0.0456	0.0444	0.592	0.0808	0.00142	0.252
105	TSGA10	testis specific, 10	395811	9	9	9	0	1	1	1	3	3	0	0.000202	0.186	0.626	0.392	0.726	0.00144	0.253
106	VSTM2A	V-set and transmembrane domain containing 2A	128494	4	4	4	1	2	1	0	1	0	0	0.00519	0.528	0.0102	0.989	0.0290	0.00147	0.253
107	OR5M3	olfactory receptor, family 5, subfamily M, member 3	170523	6	6	6	0	1	1	2	1	1	0	0.000174	0.251	0.711	0.903	0.864	0.00148	0.253
108	KHDRBS2	KH domain containing, RNA binding, signal transduction associated 2	198515	8	7	8	1	1	6	1	0	0	0	0.000152	0.410	0.772	0.738	1.000	0.00149	0.253
109	RTN1	reticulon 1	379330	9	9	9	1	5	1	1	1	1	0	0.000182	0.101	0.511	0.837	0.854	0.00152	0.253
110	SLCO1B3	solute carrier organic anion transporter family, member 1B3	394240	9	9	9	1	0	1	4	2	2	0	0.000155	0.348	0.675	0.631	1.000	0.00152	0.253
111	SLITRK1	SLIT and NTRK-like family, member 1	336245	10	8	10	1	2	2	5	1	0	0	0.000181	0.173	0.760	0.549	0.863	0.00152	0.253
112	OR5I1	olfactory receptor, family 5, subfamily I, member 1	159506	6	6	6	1	0	2	3	0	1	0	0.000243	0.482	0.449	0.457	0.664	0.00157	0.259
113	SORCS3	sortilin-related VPS10 domain containing receptor 3	589837	12	11	12	0	1	3	6	1	1	0	0.000471	0.0446	0.212	0.366	0.346	0.00159	0.259
114	RFX7	regulatory factor X, 7	805954	7	6	7	1	1	2	0	3	1	0	0.159	0.546	0.0128	0.00601	0.00106	0.00164	0.259
115	OR4N4	olfactory receptor, family 4, subfamily N, member 4	175430	4	4	4	1	0	2	2	0	0	0	0.0114	0.615	0.0651	0.0175	0.0148	0.00164	0.259
116	KLRF1	killer cell lectin-like receptor subfamily F, member 1	132129	4	4	2	0	0	3	1	0	0	0	0.00305	0.392	0.0196	0.696	0.0555	0.00164	0.259
117	FAM71A	family with sequence similarity 71, member A	309214	4	4	4	1	0	3	0	1	0	0	0.0861	0.638	0.0285	0.00190	0.00199	0.00165	0.259
118	ZNF214	zinc finger protein 214	326002	5	5	5	0	2	3	0	0	0	0	0.00636	0.363	0.0458	0.0322	0.0271	0.00167	0.259
119	NCKAP5	NCK-associated protein 5	1041780	17	15	16	1	4	6	3	4	0	0	0.000325	0.0379	0.404	0.414	0.531	0.00167	0.259
120	CDH7	cadherin 7, type 2	433953	10	10	10	0	2	5	1	2	0	0	0.000179	0.0535	0.987	0.461	1.000	0.00173	0.266
121	FMO3	flavin containing monooxygenase 3	297859	5	5	5	0	0	3	2	0	0	0	0.0180	0.242	0.0165	0.0300	0.0106	0.00182	0.278
122	HIST1H1B	histone cluster 1, H1b	125775	6	6	6	1	1	4	1	0	0	0	0.000215	0.352	0.899	0.618	1.000	0.00203	0.307
123	EBF1	early B-cell factor 1	322359	5	5	5	1	3	1	0	1	0	0	0.0519	0.392	0.00370	0.634	0.00422	0.00206	0.307
124	MSN	moesin	288323	7	6	5	1	1	1	2	1	2	0	0.00502	0.649	0.0202	0.958	0.0437	0.00207	0.307
125	ATRNL1	attractin-like 1	746977	14	13	14	3	2	6	1	2	3	0	0.00897	0.588	0.0181	0.236	0.0247	0.00209	0.307
126	RIMS1	regulating synaptic membrane exocytosis 1	903250	18	15	18	1	5	3	7	2	1	0	0.000257	0.0216	0.796	0.385	0.866	0.00210	0.307
127	FNTA	farnesyltransferase, CAAX box, alpha	197525	3	2	3	0	0	3	0	0	0	0	0.249	0.495	0.00295	0.00616	0.000902	0.00211	0.308
128	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	342072	6	6	6	1	2	4	0	0	0	0	0.0164	0.394	0.0173	0.0762	0.0140	0.00215	0.310
129	RBBP8	retinoblastoma binding protein 8	507422	3	3	1	1	0	3	0	0	0	0	0.481	0.849	9.82e-05	0.0356	0.000487	0.00219	0.312
130	KRT23	keratin 23 (histone deacetylase inducible)	232286	7	7	7	0	3	3	0	1	0	0	0.000486	0.0936	0.622	0.169	0.484	0.00220	0.312
131	LTBP1	latent transforming growth factor beta binding protein 1	890091	10	10	10	1	2	3	0	3	2	0	0.00922	0.243	0.298	0.0107	0.0256	0.00221	0.312
132	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	702194	12	12	12	0	3	3	4	0	2	0	0.00164	0.0204	0.142	0.133	0.145	0.00223	0.312
133	ZNF570	zinc finger protein 570	296335	7	7	7	0	0	3	2	0	2	0	0.000344	0.189	0.726	0.392	0.700	0.00225	0.312
134	CNTN6	contactin 6	547114	10	9	10	1	1	1	1	5	2	0	0.000261	0.392	0.762	0.579	0.955	0.00232	0.318
135	GPR52	G protein-coupled receptor 52	196777	6	6	6	0	0	3	0	1	2	0	0.000393	0.273	0.322	0.519	0.644	0.00235	0.318
136	HTR1F	5-hydroxytryptamine (serotonin) receptor 1F	172658	3	3	3	0	0	1	1	1	0	0	0.0488	0.462	0.00353	0.898	0.00522	0.00236	0.318
137	PCDHB3	protocadherin beta 3	418273	11	11	11	1	5	4	1	1	0	0	0.000255	0.0540	0.871	0.807	1.000	0.00236	0.318
138	CRISP3	cysteine-rich secretory protein 3	141269	4	4	4	0	1	1	0	0	2	0	0.00217	0.355	0.523	0.0276	0.118	0.00238	0.318
139	EP300	E1A binding protein p300	1306743	12	12	12	1	1	6	2	0	3	0	0.0497	0.222	0.0263	0.00864	0.00523	0.00241	0.319
140	GRIA4	glutamate receptor, ionotrophic, AMPA 4	551579	10	10	10	0	2	4	2	1	1	0	0.000595	0.0587	0.344	0.933	0.440	0.00242	0.319
141	LIMA1	LIM domain and actin binding 1	422545	8	8	7	0	4	2	0	0	2	0	0.00105	0.0749	0.124	0.797	0.253	0.00245	0.321
142	NRG3	neuregulin 3	372157	8	8	8	1	3	1	2	0	2	0	0.000416	0.171	0.815	0.280	0.645	0.00247	0.322
143	DGKI	diacylglycerol kinase, iota	490456	11	9	11	2	2	3	1	2	3	0	0.00372	0.368	0.294	0.0196	0.0738	0.00253	0.324
144	DCLRE1C	DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)	380431	8	8	8	2	1	4	2	0	1	0	0.0113	0.622	0.0113	0.993	0.0243	0.00253	0.324
145	C5orf47	chromosome 5 open reading frame 47	57236	2	2	2	0	0	0	1	0	1	0	0.00701	0.593	0.102	0.247	0.0394	0.00254	0.324
146	GRM8	glutamate receptor, metabotropic 8	508701	11	11	11	2	1	4	2	2	2	0	0.000499	0.416	0.366	0.508	0.562	0.00257	0.325
147	GPR63	G protein-coupled receptor 63	228584	3	3	3	0	0	1	0	1	1	0	0.0339	0.597	0.00702	0.204	0.00832	0.00259	0.325
148	FLT3	fms-related tyrosine kinase 3	542892	9	9	9	1	0	3	2	0	4	0	0.00364	0.271	0.0415	0.427	0.0788	0.00263	0.328
149	TRAM1L1	translocation associated membrane protein 1-like 1	202461	6	6	5	0	1	1	3	1	0	0	0.000934	0.181	0.204	0.741	0.313	0.00267	0.331
150	OCA2	oculocutaneous albinism II	405288	8	8	8	2	1	2	2	0	3	0	0.0282	0.616	0.0201	0.00964	0.0107	0.00274	0.336
151	LRP12	low density lipoprotein-related protein 12	474428	10	9	9	1	1	5	2	2	0	0	0.000464	0.292	0.449	0.381	0.650	0.00275	0.336
152	CCT8L2	chaperonin containing TCP1, subunit 8 (theta)-like 2	308135	5	5	5	1	0	1	3	1	0	0	0.0130	0.493	0.0173	0.654	0.0240	0.00283	0.344
153	GNAS	GNAS complex locus	597278	16	16	16	2	9	3	2	1	1	0	0.00131	0.323	0.208	0.343	0.245	0.00291	0.351
154	GPR161	G protein-coupled receptor 161	295086	6	6	6	1	1	2	3	0	0	0	0.00373	0.375	0.0430	0.736	0.0874	0.00294	0.353
155	GPATCH3	G patch domain containing 3	285994	3	2	3	0	0	2	0	0	1	0	0.454	0.499	0.000905	0.113	0.000735	0.00301	0.358
156	DOCK1	dedicator of cytokinesis 1	1045749	9	9	9	1	0	6	0	1	2	0	0.168	0.185	0.179	0.00101	0.00204	0.00308	0.359
157	MCM9	minichromosome maintenance complex component 9	218024	5	5	5	0	0	3	0	1	1	0	0.00386	0.257	0.0298	0.184	0.0889	0.00308	0.359
158	NCAM2	neural cell adhesion molecule 2	461705	12	11	12	2	2	7	1	1	1	0	0.000438	0.380	0.678	0.414	0.785	0.00309	0.359
159	NCAPD3	non-SMC condensin II complex, subunit D3	804540	11	11	11	1	2	2	2	1	3	1	0.00179	0.276	0.305	0.107	0.193	0.00309	0.359
160	GZMK	granzyme K (granzyme 3; tryptase II)	148848	3	3	3	1	1	1	0	0	1	0	0.0173	0.807	0.454	0.00783	0.0203	0.00314	0.361
161	SPANXN1	SPANX family, member N1	41990	2	2	2	1	1	0	0	1	0	0	0.00391	0.701	0.407	0.0259	0.0898	0.00314	0.361
162	ZNF496	zinc finger protein 496	329262	8	8	8	1	5	2	1	0	0	0	0.00178	0.221	0.109	0.548	0.203	0.00323	0.365
163	DACH2	dachshund homolog 2 (Drosophila)	324886	7	6	7	0	0	1	2	1	3	0	0.00673	0.148	0.150	0.0291	0.0539	0.00324	0.365
164	KPNA1	karyopherin alpha 1 (importin alpha 5)	307262	6	6	4	1	0	6	0	0	0	0	0.00810	0.538	0.307	0.00469	0.0449	0.00324	0.365
165	MYCBPAP	MYCBP associated protein	535515	5	5	5	0	1	3	0	1	0	0	0.204	0.210	0.00148	0.148	0.00190	0.00344	0.385
166	DPF3	D4, zinc and double PHD fingers, family 3	195390	5	5	5	1	0	2	1	0	2	0	0.00489	0.661	0.0384	0.490	0.0854	0.00367	0.406
167	ATP10D	ATPase, class V, type 10D	775088	13	12	13	1	1	5	4	1	2	0	0.000418	0.104	0.792	0.520	1.000	0.00367	0.406
168	ANKRD36	ankyrin repeat domain 36	930093	9	9	9	1	0	1	2	4	2	0	0.0147	0.370	0.0142	0.703	0.0291	0.00374	0.411
169	UTP3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	244593	5	5	5	0	1	2	0	1	1	0	0.00729	0.351	0.0566	0.240	0.0589	0.00376	0.411
170	TRIML2	tripartite motif family-like 2	208521	6	6	6	1	0	0	4	0	2	0	0.000543	0.434	0.592	0.752	0.798	0.00379	0.411
171	ZNF439	zinc finger protein 439	279521	4	4	4	1	0	2	0	1	1	0	0.0223	0.753	0.0488	0.0480	0.0195	0.00381	0.411
